Hotel,Location,Price,Rating,Score,Number of Reviews,Room Type,Link
Travelodge Hotel Melbourne Docklands,"Docklands, Melbourne",AUD 139,Very good,8.0,"9,344",Standard King Room,https://www.booking.com/hotel/au/travelodge-docklands.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=17912005_380196191_2_2_0&highlighted_blocks=17912005_380196191_2_2_0&matching_block_id=17912005_380196191_2_2_0&sr_pri_blocks=17912005_380196191_2_2_0__13930&from=searchresults
Rydges Melbourne,"Melbourne CBD, Melbourne",AUD 229,Fabulous,8.9,"4,162",King Room,https://www.booking.com/hotel/au/rydges-melbourne.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=3783970_335116599_0_34_0_89351&highlighted_blocks=3783970_335116599_0_34_0_89351&matching_block_id=3783970_335116599_0_34_0_89351&sr_pri_blocks=3783970_335116599_0_34_0_89351_22865&from=searchresults
Sky View 1B1B APT in the CBD,"Melbourne CBD, Melbourne",AUD 199,Superb,9.2,62,One-Bedroom Apartment,https://www.booking.com/hotel/au/cozy-1b1b-apt-with-stunning-view.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=1201288001_392393675_2_0_0&highlighted_blocks=1201288001_392393675_2_0_0&matching_block_id=1201288001_392393675_2_0_0&sr_pri_blocks=1201288001_392393675_2_0_0__19900&from=searchresults
Crown Promenade Melbourne,"Southbank, Melbourne",AUD 249,Very good,8.5,"9,670",Standard King Room,https://www.booking.com/hotel/au/crown-promenade.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=3786101_131970484_0_2_0&highlighted_blocks=3786101_131970484_0_2_0&matching_block_id=3786101_131970484_0_2_0&sr_pri_blocks=3786101_131970484_0_2_0__24900&from=searchresults
Dorsett Melbourne,"Melbourne CBD, Melbourne",AUD 199,Fabulous,8.6,"6,173",Dorsett King,https://www.booking.com/hotel/au/dorsett-melbourne.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=935521201_378980704_2_2_0&highlighted_blocks=935521201_378980704_2_2_0&matching_block_id=935521201_378980704_2_2_0&sr_pri_blocks=935521201_378980704_2_2_0__19920&from=searchresults
The Langham Melbourne,"Southbank, Melbourne",AUD 266,Fabulous,8.8,"4,409",Superior Twin,https://www.booking.com/hotel/au/the-langham-melbourne.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=3712312_95160032_2_2_0&highlighted_blocks=3712312_95160032_2_2_0&matching_block_id=3712312_95160032_2_2_0&sr_pri_blocks=3712312_95160032_2_2_0__26550&from_sustainable_property_sr=1&from=searchresults
Crown Towers Melbourne,"Southbank, Melbourne",AUD 359,Fabulous,8.7,"5,174",Deluxe King Room,https://www.booking.com/hotel/au/crown-towers.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=3785705_323967942_0_2_0&highlighted_blocks=3785705_323967942_0_2_0&matching_block_id=3785705_323967942_0_2_0&sr_pri_blocks=3785705_323967942_0_2_0__35900&from=searchresults
Meriton Suites Melbourne,"Melbourne CBD, Melbourne",AUD 195,Superb,9.1,"2,766",Mini Studio,https://www.booking.com/hotel/au/meriton-suites-king-street-melbourne.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=1025002801_375214793_2_0_0&highlighted_blocks=1025002801_375214793_2_0_0&matching_block_id=1025002801_375214793_2_0_0&sr_pri_blocks=1025002801_375214793_2_0_0__19500&from=searchresults
The Savoy Hotel on Little Collins Melbourne,"Melbourne CBD, Melbourne",AUD 219,Fabulous,8.7,"5,826",Savoy Queen Room,https://www.booking.com/hotel/au/vibe-savoy-melbourne.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=3798401_244624358_2_41_0&highlighted_blocks=3798401_244624358_2_41_0&matching_block_id=3798401_244624358_2_41_0&sr_pri_blocks=3798401_244624358_2_41_0__21900&from=searchresults
Crown Metropol Melbourne,"Southbank, Melbourne",AUD 279,Very good,8.3,"7,695",Luxe King Room,https://www.booking.com/hotel/au/crown-metropol.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=18012701_392953868_0_2_0&highlighted_blocks=18012701_392953868_0_2_0&matching_block_id=18012701_392953868_0_2_0&sr_pri_blocks=18012701_392953868_0_2_0__27900&from=searchresults
